"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","6408","loginSuccessful","Default Suite","Sun Mar 09 21:16:09 GMT+03:00 2025","passed","Sun Mar 09 21:16:16 GMT+03:00 2025","UserTests","Selenium-Test-Amazon","UserTests","loginSuccessful"
"","0","openBrowser","Default Suite","Sun Mar 09 02:43:20 GMT+03:00 2025","broken","Sun Mar 09 02:43:20 GMT+03:00 2025","PaymentTest","Selenium-Test-Amazon","PaymentTest","openBrowser"
"","5","openBrowser","Default Suite","Sun Mar 09 15:58:02 GMT+03:00 2025","broken","Sun Mar 09 15:58:02 GMT+03:00 2025","RegisterTest","Selenium-Test-Amazon","RegisterTest","openBrowser"
"","17084","passwordUpdate","Default Suite","Sun Mar 09 21:19:14 GMT+03:00 2025","passed","Sun Mar 09 21:19:31 GMT+03:00 2025","PasswordUpdateTest","Selenium-Test-Amazon","PasswordUpdateTest","passwordUpdate"
"","2","openBrowser","Default Suite","Sun Mar 09 15:50:43 GMT+03:00 2025","broken","Sun Mar 09 15:50:43 GMT+03:00 2025","ProductDeleteTest","Selenium-Test-Amazon","ProductDeleteTest","openBrowser"
"","19243","addProduct","Default Suite","Sun Mar 09 21:21:07 GMT+03:00 2025","passed","Sun Mar 09 21:21:26 GMT+03:00 2025","AddProductTest","Selenium-Test-Amazon","AddProductTest","addProduct"
"","6285","registerAccount","Default Suite","Sun Mar 09 21:17:19 GMT+03:00 2025","passed","Sun Mar 09 21:17:25 GMT+03:00 2025","RegisterTest","Selenium-Test-Amazon","RegisterTest","registerAccount"
"","5678","loginSuccessful","Default Suite","Fri Mar 07 02:12:07 GMT+03:00 2025","passed","Fri Mar 07 02:12:13 GMT+03:00 2025","passwordUpdateTest","Selenium-Test-Amazon","passwordUpdateTest","loginSuccessful"
"","28879","goToPayment","Default Suite","Sun Mar 09 21:22:51 GMT+03:00 2025","passed","Sun Mar 09 21:23:20 GMT+03:00 2025","PaymentTest","Selenium-Test-Amazon","PaymentTest","goToPayment"
"","15178","clickProduct","Default Suite","Sat Mar 08 16:09:48 GMT+03:00 2025","passed","Sat Mar 08 16:10:04 GMT+03:00 2025","AddProductTest","Selenium-Test-Amazon","AddProductTest","clickProduct"
"","3659","searchInvalidCharacters","Default Suite","Sun Mar 09 21:20:12 GMT+03:00 2025","passed","Sun Mar 09 21:20:15 GMT+03:00 2025","InvalidSearchTest","Selenium-Test-Amazon","InvalidSearchTest","searchInvalidCharacters"
"","0","openBrowser","Default Suite","Fri Mar 07 02:43:05 GMT+03:00 2025","broken","Fri Mar 07 02:43:05 GMT+03:00 2025","passwordUpdateTest","Selenium-Test-Amazon","passwordUpdateTest","openBrowser"
"","2","openBrowser","Default Suite","Sun Mar 09 15:50:24 GMT+03:00 2025","broken","Sun Mar 09 15:50:24 GMT+03:00 2025","checkPriceTest","Selenium-Test-Amazon","checkPriceTest","openBrowser"
"","17788","navigateToAccount","Default Suite","Fri Mar 07 03:02:21 GMT+03:00 2025","passed","Fri Mar 07 03:02:39 GMT+03:00 2025","passwordUpdateTest","Selenium-Test-Amazon","passwordUpdateTest","navigateToAccount"
"","0","openBrowser","Default Suite","Sat Mar 08 16:08:53 GMT+03:00 2025","broken","Sat Mar 08 16:08:53 GMT+03:00 2025","AddProductTest","Selenium-Test-Amazon","AddProductTest","openBrowser"
"","1","navigateToAccount","Default Suite","Sun Mar 09 16:00:21 GMT+03:00 2025","skipped","Sun Mar 09 16:00:21 GMT+03:00 2025","PasswordUpdateTest","Selenium-Test-Amazon","PasswordUpdateTest","navigateToAccount"
"","15321","checkPrice","Default Suite","Sun Mar 09 15:59:12 GMT+03:00 2025","failed","Sun Mar 09 15:59:27 GMT+03:00 2025","checkPriceTest","Selenium-Test-Amazon","checkPriceTest","checkPrice"
"","17598","checkCoupon","Default Suite","Sun Mar 09 21:22:14 GMT+03:00 2025","passed","Sun Mar 09 21:22:31 GMT+03:00 2025","CheckCouponTest","Selenium-Test-Amazon","CheckCouponTest","checkCoupon"
"","6584","unSuccessful","Default Suite","Sun Mar 09 21:16:46 GMT+03:00 2025","passed","Sun Mar 09 21:16:53 GMT+03:00 2025","UserTests","Selenium-Test-Amazon","UserTests","unSuccessful"
"","0","openBrowser","Default Suite","Sun Mar 09 16:00:21 GMT+03:00 2025","broken","Sun Mar 09 16:00:21 GMT+03:00 2025","PasswordUpdateTest","Selenium-Test-Amazon","PasswordUpdateTest","openBrowser"
"","16729","clickProduct","Default Suite","Sat Mar 08 15:56:09 GMT+03:00 2025","passed","Sat Mar 08 15:56:25 GMT+03:00 2025","SearchProductTest","Selenium-Test-Amazon","SearchProductTest","clickProduct"
"","4","openBrowser","Default Suite","Sun Mar 09 21:15:28 GMT+03:00 2025","broken","Sun Mar 09 21:15:28 GMT+03:00 2025","UserTests","Selenium-Test-Amazon","UserTests","openBrowser"
"","0","openBrowser","Default Suite","Sat Mar 08 14:45:58 GMT+03:00 2025","broken","Sat Mar 08 14:45:58 GMT+03:00 2025","SearchProductTest","Selenium-Test-Amazon","SearchProductTest","openBrowser"
"","5730","deleteProduct","Default Suite","Sun Mar 09 21:17:51 GMT+03:00 2025","passed","Sun Mar 09 21:17:57 GMT+03:00 2025","ProductDeleteTest","Selenium-Test-Amazon","ProductDeleteTest","deleteProduct"
